complete_emoji,emoji_ascii,complete_letter,letter_ascii
㈎,12814,가,12814
㈏,12815,나,12815
㈐,12816,다,12816
㈑,12817,라,12817
㈒,12818,마,12818
㈓,12819,바,12819
㈔,12820,사,12820
㈕,12821,아,12821
㈖,12822,자,12822
㈗,12823,차,12823
㈘,12824,카,12824
㈙,12825,타,12825
㈚,12826,파,12826
㈛,12827,하,12827
㈜,12828,주,12828
㈝,12829,오전,12829
㈞,12830,오후,12830
㉮,12910,가,12910
㉯,12911,나,12911
㉰,12912,다,12912
㉱,12913,라,12913
㉲,12914,마,12914
㉳,12915,바,12915
㉴,12916,사,12916
㉵,12917,아,12917
㉶,12918,자,12918
㉷,12919,차,12919
㉸,12920,카,12920
㉹,12921,타,12921
㉺,12922,파,12922
㉻,12923,하,12923
㉼,12924,참고,12924
㉽,12925,주의,12925
㉾,12926,우,12926
㉠,12896,ㄱ,12896
㉡,12897,ㄴ,12897
㉢,12898,ㄷ,12898
㉣,12899,ㄹ,12899
㉤,12900,ㅁ,12900
㉥,12901,ㅂ,12901
㉦,12902,ㅅ,12902
㉧,12903,ㅇ,12903
㉨,12904,ㅈ,12904
㉩,12905,ㅊ,12905
㉪,12906,ㅋ,12906
㉫,12907,ㅌ,12907
㉬,12908,ㅍ,12908
㉭,12909,ㅎ,12909
㈀,12800,ㄱ,12800
㈁,12801,ㄴ,12801
㈂,12802,ㄷ,12802
㈃,12803,ㄹ,12803
㈄,12804,ㅁ,12804
㈅,12805,ㅂ,12805
㈆,12806,ㅅ,12806
㈇,12807,ㅇ,12807
㈈,12808,ㅈ,12808
㈉,12809,ㅊ,12809
㈊,12810,ㅋ,12810
㈋,12811,ㅌ,12811
㈌,12812,ㅍ,12812
㈍,12813,ㅎ,12813
